두리쥬와 X LINDA X 신난다;싹쓰리 (유두래곤, 린다G, 비룡);/두리쥬와 (Feat. S.B.N)/LINDA (Feat. 윤미래)/신난다 (Feat. 마마무)/다시 여기 바닷가 (Acoustic Ver.)/두리쥬와 (Inst.)/LINDA (Inst.)/신난다 (Inst.)/다시 여기 바닷가 (Acoustic Ver.) (Inst.)
THE ALBUM;BLACKPINK;/Pretty Savage/Bet You Wanna (Feat. Cardi B)/Lovesick Girls/Crazy Over You/Love To Hate Me/You Never Know
사랑의 불시착 OST Part 2;윤미래;/Flower/Flower (Inst.)
정규 2집 '마음, 둘';폴킴(Paul Kim);/Hero/우리 만남이/카톡/HOLIDAY/나의 봄의 이유
Loveship;폴킴(Paul Kim);/Loveship
언제라도 어디에서라도;정승환;/언제라도 어디에서라도/언제라도 어디에서라도 (Inst.)
OHIO;Crush;/OHIO/Let Me (Feat. Devin Morrison)
What You Waiting For;전소미;/What You Waiting For
Oneiric Diary (幻想日記);IZ*ONE(아이즈원);/Welcome/환상동화 (Secret Story of the Swan)/Pretty/회전목마 (Merry-Go-Round)/Rococo/With*One/幻想童話 (Secret Story of the Swan) (Japanese Ver.)/Merry-Go-Round (Japanese Ver.)
回:Walpurgis Night;여자친구(GFRIEND);/MAGO/Love Spell/Three Of Cups/GRWM/Secret Diary/Better Me/Night Drive/Apple/교차로 (Crossroads)/Labyrinth/앞면의 뒷면의 뒷면
깡 Official Remix;식케이 (Sik-K);/깡 Official Remix
Filmlet;볼빨간사춘기;/빨간 립스틱/Dancing Cartoon
Black Mamba;aespa;/Black Mamba
BE;방탄소년단;/Life Goes On/내 방을 여행하는 법/Blue & Grey/Skit/잠시/병/Stay/Dynamite
